S   UID     PID    PPID  C PRI  NI   RSS    SZ WCHAN  TTY          TIME CMD
S  1000    2115    2042  0  80   0  6900 78656 poll_s ?        00:00:00 goa-identity-se
S  1000    2122    2042  0  80   0  5336 58925 poll_s ?        00:00:00 gvfs-mtp-volume
S  1000    2128    2035  0  80   0  5824 41005 poll_s tty2     00:00:00 gdm-x-session
S  1000    2130    2128  2  80   0 234312 409844 ep_pol tty2   00:08:26 Xorg
S  1000    2163    2128  0  80   0 11020 47023 poll_s tty2     00:00:00 gnome-session-b
S  1000    2234       1  0  80   0   168  5653 do_wai ?        00:00:00 VBoxClient
S  1000    2235    2234  0  80   0  4284 38753 vbg_hg ?        00:00:07 VBoxClient
S  1000    2246       1  0  80   0   172  5653 do_wai ?        00:00:00 VBoxClient
S  1000    2247    2246  0  80   0  2468 38712 vbg_co ?        00:00:00 VBoxClient
S  1000    2253       1  0  80   0   168  5653 do_wai ?        00:00:00 VBoxClient
S  1000    2255    2253  0  80   0  2720 55225 futex_ ?        00:00:42 VBoxClient
S  1000    2258       1  0  80   0   168  5653 do_wai ?        00:00:00 VBoxClient
S  1000    2259    2258  0  80   0  3164 39282 vbg_co ?        00:00:00 VBoxClient
S  1000    2266    2163  0  80   0    96  1510 -      ?        00:00:00 ssh-agent
S  1000    2304    2042  0  80   0  5508 76355 poll_s ?        00:00:00 at-spi-bus-laun
S  1000    2309    2304  0  80   0  4040  1845 ep_pol ?        00:00:00 dbus-daemon
S  1000    2349    2042  0  80   0  4228 22516 poll_s ?        00:00:00 gnome-session-c
S  1000    2356    2042  0  80   0 12660 102614 poll_s ?       00:00:00 gnome-session-b
S  1000    2370    2042  7  80   0 596864 1476134 poll_s ?     00:28:15 gnome-shell
S  1000    2407    2370  0  80   0  7048 77736 poll_s ?        00:00:00 ibus-daemon
S  1000    2411    2407  0  80   0  5996 59132 poll_s ?        00:00:00 ibus-dconf
S  1000    2412    2407  0  80   0 29396 69079 poll_s ?        00:00:02 ibus-extension-
S  1000    2414    2042  0  80   0 25412 49646 poll_s ?        00:00:00 ibus-x11
S  1000    2417    2042  0  80   0  5968 59093 poll_s ?        00:00:00 ibus-portal
S  1000    2429    2042  0  80   0  5320 40728 poll_s ?        00:00:02 at-spi2-registr
S  1000    2432    2042  0  80   0  3856 58900 poll_s ?        00:00:00 xdg-permission-
S  1000    2436    2042  0  80   0 15468 145221 poll_s ?       00:00:00 gnome-shell-cal
S  1000    2444    2042  0  80   0 19716 267549 poll_s ?       00:00:00 evolution-sourc
S  1000    2453    2042  0  80   0 23588 228105 poll_s ?       00:00:00 evolution-calen
S  1000    2457    2042  0  80   0  5256 39123 poll_s ?        00:00:00 dconf-service
S  1000    2470    2042  0  80   0 23468 186730 poll_s ?       00:00:00 evolution-addre
S  1000    2485    2042  0  80   0 24088 698779 poll_s ?       00:00:00 gjs
S  1000    2488    2069  1  80   0 10324 79123 poll_s ?        00:05:26 gvfsd-trash
S  1000    2504    2042  0  80   0  5560 77415 poll_s ?        00:00:00 gsd-a11y-settin
S  1000    2505    2042  0  80   0 27380 123722 poll_s ?       00:00:01 gsd-color
S  1000    2506    2042  0  80   0 11660 93406 poll_s ?        00:00:00 gsd-datetime
S  1000    2508    2042  0  80   0  7612 77963 poll_s ?        00:00:00 gsd-housekeepin
S  1000    2509    2042  0  80   0 26676 86643 poll_s ?        00:00:00 gsd-keyboard
S  1000    2510    2042  0  80   0 30508 256222 poll_s ?       00:00:01 gsd-media-keys
S  1000    2512    2042  0  80   0 27108 105187 poll_s ?       00:00:01 gsd-power
S  1000    2515    2042  0  80   0  7660 62055 poll_s ?        00:00:00 gsd-print-notif
S  1000    2516    2042  0  80   0  5128 114275 poll_s ?       00:00:00 gsd-rfkill
S  1000    2517    2042  0  80   0  5320 58877 poll_s ?        00:00:00 gsd-screensaver
S  1000    2520    2042  0  80   0  7792 97762 poll_s ?        00:00:00 gsd-sharing
S  1000    2522    2042  0  80   0  7144 78790 poll_s ?        00:00:00 gsd-smartcard
S  1000    2524    2042  0  80   0  8236 79839 poll_s ?        00:00:00 gsd-sound
S  1000    2525    2042  0  80   0  6364 96241 poll_s ?        00:00:00 gsd-usb-protect
S  1000    2527    2042  0  80   0 25464 86518 poll_s ?        00:00:00 gsd-wacom
S  1000    2528    2042  0  80   0  6404 78503 poll_s ?        00:00:00 gsd-wwan
S  1000    2529    2042  0  80   0 27252 86643 poll_s ?        00:00:01 gsd-xsettings
S  1000    2581    2042  0  80   0 10008 85547 poll_s ?        00:00:00 gsd-printer
S  1000    2607    2356  0  80   0 54184 160099 poll_s ?       00:00:01 evolution-alarm
S  1000    2618    2356  0  80   0  5132 57950 poll_s ?        00:00:00 gsd-disk-utilit
S  1000    2670    2042  0  80   0 409800 309556 poll_s ?      00:00:19 snap-store
S  1000    2671    2407  0  80   0  5904 40673 poll_s ?        00:00:00 ibus-engine-sim
S  1000    2698    2042  0  80   0  5384 114356 poll_s ?       00:00:00 xdg-document-po
S  1000    2805    2042  0  80   0  8664 152540 poll_s ?       00:00:00 xdg-desktop-por
S  1000    2809    2042  0  80   0 26908 123436 poll_s ?       00:00:01 xdg-desktop-por
S  1000    3287    2042  2  80   0 162752 348445 poll_s ?      00:10:41 nautilus
S  1000    3297    2042  0  80   0  5888 40662 poll_s ?        00:00:00 gvfsd-metadata
S  1000    4489    2356  0  80   0 39388 115966 poll_s ?       00:00:01 update-notifier
S  1000    6023    2042  0  80   0 80960 340076 poll_s ?       00:00:30 evince
S  1000    6028    2042  0  80   0  4608 39014 poll_s ?        00:00:00 evinced
S     0   11224       1  0  80   0  6288 59583 -      ?        00:00:00 accounts-daemon
I     0   21285       2  0  60 -20     0     0 -      ?        00:00:00 xfsalloc
I     0   21286       2  0  60 -20     0     0 -      ?        00:00:00 xfs_mru_cache
S     0   21290       2  0  80   0     0     0 -      ?        00:00:00 jfsIO
S     0   21291       2  0  80   0     0     0 -      ?        00:00:00 jfsCommit
S     0   21292       2  0  80   0     0     0 -      ?        00:00:00 jfsCommit
S     0   21293       2  0  80   0     0     0 -      ?        00:00:00 jfsCommit
S     0   21294       2  0  80   0     0     0 -      ?        00:00:00 jfsCommit
S     0   21295       2  0  80   0     0     0 -      ?        00:00:00 jfsCommit
S     0   21296       2  0  80   0     0     0 -      ?        00:00:00 jfsCommit
S     0   21297       2  0  80   0     0     0 -      ?        00:00:00 jfsSync
S     0   23146       1  0  80   0 19192 55394 -      ?        00:00:01 apache2
S    33   40381   23146  0  80   0  8740 55512 -      ?        00:00:00 apache2
S    33   40382   23146  0  80   0  8740 55512 -      ?        00:00:00 apache2
S    33   40383   23146  0  80   0  8740 55512 -      ?        00:00:00 apache2
